Year,FacilityName,EPAIDNumber,LubOilInCAGallons,IndOilInCAGallons,TotalOilInCAGallons,LubOilOutsideCAGallons,IndOilOutsideCAGallons,TotalOilOutsideCAGallons,TotalLubGallons,TotalIndGallons,GrandTotalOilReceivedGallons,RecycledOilNeutralBaseStockGallons,RecycledOilIndustrialOilGallons,RecycledOilFuelOilGallons,RecycledOilAsphaltGallons,RecycledOilConsumedGallons,RecycledOilTotalGallons,ResidualMaterialNonhazardousGallons,ResidualMaterialHazardousGallons,ResidualMaterialTotalGallons,ProducedByFacilityGrandTotalGallons,Count
2004,Advanced Environmental_ Inc.,CAT080025711,8829894,4155245,12985139,0,0,0,8829894,4155245,12985139,0,0,11568404,0,0,11568404,0,1313344,1313344,12881748,4
2004,Demenno/Kerdoon,CAT080013352,37226754,24586758,61813512,0,0,0,37226754,24586758,61813512,0,0,24258461,18708482,0,42966943,17018016,1044833,18062849,61029792,4
2004,Evergreen Oil,CAD980887418,14058426,215819,14274245,68050,130,68180,14126476,215949,14342425,9241406,0,4043730,1727851,0,15012987,630493,593601,1224094,16237081,4
2004,Industrial Service Oil Company_ Inc.,CAD099452708,16188980,2531408,18720388,0,0,0,16188980,2531408,18720388,0,0,18720388,0,0,18720388,0,0,0,18720388,4
2004,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,ORD980980775,3408644,0,3408644,0,0,0,3408644,0,3408644,0,0,3408644,0,0,3408644,0,0,0,3408644,4
2004,Oil Re-Refining Company_ Inc. (ORRCO) - Portland,ORD980975692,0,630785,630785,0,0,0,0,630785,630785,0,0,652198,0,0,652198,0,0,0,652198,4
2005,Advanced Environmental_ Inc.,CAT080025711,7598932,3575967,11174899,0,0,0,7598932,3575967,11174899,0,0,4192649,0,0,4192649,0,7022440,7022440,11215089,4
2005,Demenno/Kerdoon,CAT080013352,44231407,26175415,70406822,0,0,0,44231407,26175415,70406822,0,0,30700927,20931990,0,51632917,17167334,711886,17879220,69512137,4
2005,Evergreen Oil,CAD980887418,14715603,261947,14977550,15245,0,15245,14730848,261947,14992795,9721401,0,4330976,1843871,0,15896248,666675,777305,1443980,17340228,4
2005,Industrial Service Oil Company_ Inc.,CAD099452708,17570534,355284,17925818,0,0,0,17570534,355284,17925818,0,0,17925818,0,0,17925818,0,0,0,17925818,4
2005,Oil Re-Refining Company_ Inc. (ORRCO) - Klamath Fa,ORD980980775,2523105,0,2523105,0,0,0,2523105,0,2523105,0,0,12083328,0,0,12083328,0,0,0,12083328,3
2005,Oil Re-Refining Company_ Inc. (ORRCO) - Portland,ORD980975692,0,938121,938121,0,0,0,0,938121,938121,0,0,938121,0,0,938121,0,0,0,938121,4
2006,Advanced Environmental_ Inc.,CAT080025711,7287062,3429206,10716268,0,0,0,7287062,3429206,10716268,0,0,0,0,0,0,0,10613406,10613406,10613406,4
2006,Demenno/Kerdoon,CAT080013352,47428055,24129482,71557537,0,0,0,47428055,24129482,71557537,0,0,32095087,22644155,0,54739242,14612227,1207583,15819810,70559052,4
2006,Evergreen Oil,CAD980887418,15526001,342682,15868683,20145,0,20145,15546146,342682,15888828,10128902,0,3345931,1904183,0,15379016,696627,727343,1423970,16802986,4
2006,Industrial Service Oil Company_ Inc.,CAD099452708,12067078,241553,12308631,0,0,0,12067078,241553,12308631,0,0,12308631,0,0,12308631,0,3046454,3046454,15355085,4
