Query,Label,Style
CRHaulingAgr,Hauling - Agricultural,agr
CRHaulingCC,Hauling - Collection Centers,cc
CRHaulingConsol,Hauling - Consolidators,consol
CRHaulingGov,Hauling - Government,
CRHaulingImport,Hauling - Imports from out-of-state,
CRHaulingIndAgr,Ind. Agricultural,
CRHaulingIndCC,Ind. Collection Centers,
CRHaulingIndConsol,Ind. Consolidators,
CRHaulingIndGov,Ind. Government,
CRHaulingIndImport,Ind. Imports from out-of-state,
CRHaulingIndInds,Ind. Industrial Sources,
CRHaulingIndMar,Ind. Marine,
CRHaulingIndTotal,Industrial Oils,ind
CRHaulingIndTotalInState,Industrial Oils_ in-state,
CRHaulingInds,Industrial Sources,ind
CRHaulingLubAgr,Lub. Agricultural,
CRHaulingLubCC,Lub. Collection Centers,
CRHaulingLubConsol,Lub. Consolidators,
CRHaulingLubGov,Lub. Government,
CRHaulingLubImport,Lub. Imports from out-of-state,
CRHaulingLubInds,Lub. Industrial Sources,
CRHaulingLubMar,Lub. Marine,
CRHaulingLubTotal,Lubricants,lub
CRHaulingLubTotalInState,Lubricants_ in-state,
CRHaulingMar,Hauling - Marine,
CRHaulingTotal,Hauling - Total,
CRHaulingTotalInState,Hauling - in-state,
CRProcessedExports,Exports out of CA - CR,
CRProcessedReportedRcvd,Reported Received by Processors,
CRProcessedTotal,Total Oil Disposed - CR,
CRProductsAsphalt,Asphalt Produced - CR,
CRProductsBaseOil,Base Oil Produced - CR,
CRProductsLightFuels,Light Fuels Produced - CR,
CRProductsRFO,RFO Produced - CR,
CRProductsTotal,Total Products - CR,
CRSalesInd,Industrial Oils,ind
CRSalesLub,Lubricants,lub
CRSalesTotal,Sales - Total,
CRUnits,Units,*s
MDDispositionD99,D99,
MDDispositionH010,H010 Metals Recovery,
MDDispositionH020,H020 Solvents Recovery,
MDDispositionH037,H037 H037,
MDDispositionH039,H039 Other Recovery for reuse,
MDDispositionH040,H040 Incineration,
MDDispositionH041,H041 H041,
MDDispositionH050,H050 On-Site Energy Recovery,
MDDispositionH061,H061 Off-Site Energy Recovery,
MDDispositionH077,H077 Other Chemical Precipitation,
MDDispositionH080,H080 H080,
MDDispositionH081,H081 Biological Treatment,
MDDispositionH101,H101 Sludge Treatment / Dewatering,
MDDispositionH103,H103 Absorption,
MDDispositionH111,H111 Stabilization_ Off-site Disposal,
MDDispositionH122,H122 Evaporation,
MDDispositionH123,H123 Settling or Clarification,
MDDispositionH129,H129 Other Treatment,
MDDispositionH13,H13 H13,
MDDispositionH131,H131 Land Treatment or Application,
MDDispositionH132,H132 Landfill or Surface Impoundment,
MDDispositionH134,H134 Deepwell or Underground Injection,
MDDispositionH135,H135 Discharge to Sewer/POTW or NPDES,
MDDispositionH138,H138 H138,
MDDispositionH139,H139 H139,
MDDispositionH141,H141 Storage_ Bulking_ and/or Transfer Off-site,
MDDispositionH213,H213 H213,
MDDispositionH650,H650 H650,
MDDispositionOtherUnknown,Other / Unknown,
MDDispositionT68,T68,
MDDispositionTotal,Total Oil Disposed - DTSC,
MDDispositionWC221H010,H010 Metals Recovery,
MDDispositionWC221H020,H020 Solvents Recovery,
MDDispositionWC221H037,H037 H037,
MDDispositionWC221H039,H039 Other Recovery for reuse,
MDDispositionWC221H040,H040 Incineration,
MDDispositionWC221H050,H050 On-Site Energy Recovery,
MDDispositionWC221H061,H061 Off-Site Energy Recovery,
MDDispositionWC221H080,H080 H080,
MDDispositionWC221H081,H081 Biological Treatment,
MDDispositionWC221H129,H129 Other Treatment,
MDDispositionWC221H131,H131 Land Treatment or Application,
MDDispositionWC221H132,H132 Landfill or Surface Impoundment,
MDDispositionWC221H134,H134 Deepwell or Underground Injection,
MDDispositionWC221H135,H135 Discharge to Sewer/POTW or NPDES,
MDDispositionWC221H141,H141 Storage_ Bulking_ and/or Transfer Off-site,
MDDispositionWC221OtherUnknown,Other / Unknown,
MDDispositionWC221Total,Total Oil Disposed - WC 221,
MDDispositionWC222H020,H020 Solvents Recovery,
MDDispositionWC222H039,H039 Other Recovery for reuse,
MDDispositionWC222H040,H040 Incineration,
MDDispositionWC222H050,H050 On-Site Energy Recovery,
MDDispositionWC222H061,H061 Off-Site Energy Recovery,
MDDispositionWC222H077,H050 On-Site Energy Recovery,
MDDispositionWC222H081,H081 Biological Treatment,
MDDispositionWC222H111,H077 Other Chemical Precipitation,
MDDispositionWC222H123,H080 H080,
MDDispositionWC222H129,H081 Biological Treatment,
MDDispositionWC222H131,H101 Sludge Treatment / Dewatering,
MDDispositionWC222H132,H103 Absorption,
MDDispositionWC222H135,H135 Discharge to Sewer/POTW or NPDES,
MDDispositionWC222H141,H141 Storage_ Bulking_ and/or Transfer Off-site,
MDDispositionWC222OtherUnknown,Other / Unknown,
MDDispositionWC222Total,Total Oil Disposed - WC 222,
MDDispositionWC222Y141,Y141 Generator Inbound Transfer Adjustment,
MDDispositionWC223D99,H131 Land Treatment or Application,
MDDispositionWC223H010,H010 Metals Recovery,
