FacilityID,HaulerReportID,QuarterYearID,FacilityName,EPAIDNumber,QuarterYear,PreparerFirstName,PreparerLastName,PreparerTitle,ReportComments,LubCollectionStationsGallons,LubIndustrialGallons,LubMarineGallons,LubAgriculturalGallons,LubGovernmentGallons,LubOutOfStateGallons,LubOtherHaulersGallons,LubTotalGallons,IndCollectionStationsGallons,IndIndustrialGallons,IndMarineGallons,IndAgriculturalGallons,IndGovernmentGallons,IndOutOfStateGallons,IndOtherHaulersGallons,IndTotalGallons,GrandTotalGallons,TotalLubTransferedGallons,TotalIndTransferedGallons,TotalTransferedGallons
54,2170,550,Alarcon's_ Mark_ Waste Oil Service,CAD980814446,October - December 2010,Mark,Alarcon,Owner,,2390,15225,0,360,5540,0,0,23515,0,13410,0,0,270,0,0,13680,37195,23515,13680,37195
175,2169,550,All Valley Disposal Inc.,CAR000181586,October - December 2010,Marcella,Ramirez,HR Mgr,,26172,11964,0,6496,782,0,0,45414,0,0,0,0,0,0,0,0,45414,95414,0,95414
135,2167,550,All Valley Environmental,CAL000263169,October - December 2010,Juanita,Schow,Office Mgr,,68980,0,0,0,0,0,0,68980,0,0,0,0,0,0,0,0,68980,68980,0,68980
214,2171,550,Alpha Oil Company,CAL000331370,October - December 2010,Nella,Osadehaya,President,,156283,0,0,0,0,0,0,156283,0,0,0,0,0,0,0,0,156283,156483,0,156483
256,2168,550,Amberwick Corporation,CAR000172189,October - December 2010,Lynn,McLenon,Office Mgr,,0,0,0,0,0,0,0,0,0,3617,0,0,0,0,0,3617,3617,0,3617,3617
14,2166,550,American Oil Company,CAD981427669,October - December 2010,Rochelle,Gomeloy,Office Mgr,,244650,0,0,0,0,0,186774,431424,0,5100,0,0,0,0,0,5100,436524,436524,0,436524
383,2252,550,Ancon Marine,CAL000337505,October - December 2010,Don,Couch,EHS Director,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2253,550,Asbury Environmental Services-Compton,CAD028277036,October - December 2010,Vickie,Hedlund,Environmental Compliance,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2256,550,Bayside Oil II_ Inc.,CAD088838222,October - December 2010,Kim,Glenn,Safety Dir,,89928,0,0,0,0,0,0,89928,0,2984,0,0,0,0,0,2984,92912,89928,2984,92912
351,2175,550,Big Sky Environmental Solutions,CAL000346010,October - December 2010,Charles,Seaton,Consultant,,53815,0,0,0,0,0,0,53815,0,0,0,0,0,0,0,0,53815,53815,0,53815
20,2173,550,Black Gold Industries,CAD983609678,October - December 2010,Victor,Villard,President,,0,0,0,0,0,0,0,0,0,0,0,0,12291,0,0,12291,12291,0,12291,12291
21,2174,550,Black Star Oil Company,CAL912823785,October - December 2010,I,Katz,Office Mgr,,111617,27904,0,0,0,0,0,139521,0,0,0,0,0,0,0,0,139521,139521,0,139521
320,2176,550,Bulldog Oil of California LLC,CAL000338673,October - December 2010,Raymond,Ewing,Driver,,56065,0,0,8649,0,0,0,64714,0,0,0,0,0,0,0,0,64714,64714,0,64714
47,2172,550,Butler_ J.W._ Oil_ Inc.,CAD981426539,October - December 2010,Dennis,Butler,Facility Owner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,2181,550,California Coolant Services,CAR000047167,October - December 2010,Luiz,Machado,President,,127007,0,0,0,430,0,0,127437,0,0,0,0,0,0,0,0,127437,127437,0,127437
317,2182,550,California Pumping_ Inc.,CAL000282383,October - December 2010,Allan,Roston,President,,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,15000,15000,0,15000
233,2184,550,Carrs Waste Oil Service,CAL000280677,October - December 2010,J Concepcion,Carrera,MGR/Owner,,36604,0,0,0,0,0,0,36604,0,0,0,0,0,0,0,0,36604,36604,0,36604
148,2180,550,Chain_ S.R._ Environmental Services,CAL000277184,October - December 2010,Joel,Chain,Office Mgr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2183,550,Cole's Services_ Inc.,CAL000268462,October - December 2010,Mary,Miller,Office Mgr,,75451,13908,0,21631,4721,0,0,115711,0,0,0,0,0,0,0,0,115711,115711,0,115711
155,2185,550,Compliance Environmental Services,CAL000161247,October - December 2010,Patricia,Urbina,Treasurer,,118395,0,0,0,0,0,0,118395,0,0,0,0,0,0,0,0,118395,118395,0,118395
206,2179,550,Consultant Environmental Operations; C.E.O.,CAL000209884,October - December 2010,Francisco J,Arrieta,Owner,,7830,3375,0,0,0,0,0,11205,2650,2075,0,0,0,0,0,4725,15930,11205,4725,15930
