FacilityName,EPAID,QuarterYear,LubeOilCA,IndOilCA,LubeOilNonCA,IndOilNonCA,LubeOilTransfered,IndOilTransfered
Evergreen Oil,CAD980887418,January - March 2004,3247650,53701,13555,,,
Evergreen Oil,CAD980887418,April - June 2004,3680993,58111,18220,130,,
Evergreen Oil,CAD980887418,July - September 2004,3535039,48992,18355,,,
Evergreen Oil,CAD980887418,October - December 2004,3594744,55015,17920,,,
Evergreen Oil,CAD980887418,January - March 2005,3273070,48928,6430,,,
Evergreen Oil,CAD980887418,April - June 2005,3589158,54715,3370,,,
Evergreen Oil,CAD980887418,July - September 2005,4252196,85519,3375,,,
Evergreen Oil,CAD980887418,October - December 2005,3601179,72785,2070,,,
Evergreen Oil,CAD980887418,January - March 2006,3996192,100497,5210,,,
Evergreen Oil,CAD980887418,April - June 2006,3966400,100608,6210,,,
Evergreen Oil,CAD980887418,July - September 2006,3642304,73285,4460,,,
Evergreen Oil,CAD980887418,October - December 2006,3921105,68292,4265,,,
Evergreen Oil,CAD980887418,January - March 2007,4040382,65761,3925,,,
Evergreen Oil,CAD980887418,April - June 2007,3826554,63468,3730,,,
Evergreen Oil,CAD980887418,July - September 2007,4172992,73990,5305,,,
Evergreen Oil,CAD980887418,October - December 2007,3672885,51601,3480,,,
Evergreen Oil,CAD980887418,January - March 2008,3688166,73196,11611,,,
Evergreen Oil,CAD980887418,April - June 2008,4193440,63603,5635,6000,,
Evergreen Oil,CAD980887418,July - September 2008,4088675,65407,9110,,,
Evergreen Oil,CAD980887418,October - December 2008,33555527,71077,6075,,,
Evergreen Oil,CAD980887418,January - March 2009,3872327,114734,5070,,,
Evergreen Oil,CAD980887418,April - June 2009,3916925,54106,7390,,127076,
Evergreen Oil,CAD980887418,July - September 2009,4029022,65610,5980,,284402,
Evergreen Oil,CAD980887418,October - December 2009,3340513,59914,4080,,,
Evergreen Oil,CAD980887418,January - March 2010,4042160,51798,2800,,,
Evergreen Oil,CAD980887418,April - June 2010,3645490,77960,7895,,,
Evergreen Oil,CAD980887418,July - September 2010,4440616,82477,4550,,,
Evergreen Oil,CAD980887418,October - December 2010,5006135,79207,4335,,,
Evergreen Oil,CAD980887418,January - March 2011,5431621,95723,5140,,,
Evergreen Oil,CAD980887418,April - June 2011,3200028,25583,12710,,,
Demenno/Kerdoon,CAT080013352,January - March 2004,9657397,6202002,,,,
Demenno/Kerdoon,CAT080013352,April - June 2004,9461358,5773273,,,,
Demenno/Kerdoon,CAT080013352,July - September 2004,9139642,6153371,,,,
Demenno/Kerdoon,CAT080013352,October - December 2004,8968357,6458112,,,,
Demenno/Kerdoon,CAT080013352,January - March 2005,9585801,7675888,,,,
Demenno/Kerdoon,CAT080013352,April - June 2005,11480024,6360273,,,,
Demenno/Kerdoon,CAT080013352,July - September 2005,11749454,6026891,,,,
Demenno/Kerdoon,CAT080013352,October - December 2005,11416128,6112363,,,,
Demenno/Kerdoon,CAT080013352,January - March 2006,11757143,6803939,,,,
Demenno/Kerdoon,CAT080013352,April - June 2006,12246525,6045304,,,,
Demenno/Kerdoon,CAT080013352,July - September 2006,12249828,5235653,,,,
Demenno/Kerdoon,CAT080013352,October - December 2006,11174559,6044586,,,,
Demenno/Kerdoon,CAT080013352,January - March 2007,11593941,7210574,,,,
Demenno/Kerdoon,CAT080013352,April - June 2007,12067651,6081960,,,,
Demenno/Kerdoon,CAT080013352,July - September 2007,12493669,5546700,,,,
Demenno/Kerdoon,CAT080013352,October - December 2007,11943842,5966601,,,,
Demenno/Kerdoon,CAT080013352,January - March 2008,12966590,5931555,,,,
Demenno/Kerdoon,CAT080013352,April - June 2008,13012454,5612677,,,,
Demenno/Kerdoon,CAT080013352,July - September 2008,13250863,5123301,,,,
Demenno/Kerdoon,CAT080013352,October - December 2008,12385678,5170602,,,,
Demenno/Kerdoon,CAT080013352,January - March 2009,12857634,5299349,,,,
Demenno/Kerdoon,CAT080013352,April - June 2009,13343534,4822364,,,,
Demenno/Kerdoon,CAT080013352,July - September 2009,12505159,4526439,,,,
Demenno/Kerdoon,CAT080013352,October - December 2009,12496582,5012358,,,,
Demenno/Kerdoon,CAT080013352,January - March 2010,12779733,5866445,,,,
Demenno/Kerdoon,CAT080013352,April - June 2010,14626637,5171783,,,,
Demenno/Kerdoon,CAT080013352,July - September 2010,14093665,4995932,,,,
Demenno/Kerdoon,CAT080013352,October - December 2010,13274542,5552049,,,,
