Year,IndCons,LubCons,IndExp,LubExp
1993,86.4,139.4,,
1994,78,141.2,,
1995,117.3,140.8,,
1996,140.9,136.2,,
1997,141.7,137.8,,
1998,152.4,142.1,,
1999,176.4,150,,
2000,155.7,154.3,,
2001,149.099066,163.640302,72.940116,44.6732
2002,147.103624,167.956283,120.519213,61.037381
2003,135.848398,150.195197,119.137044,60.605875
2004,144.587606,150.452532,89.293245,51.017249
2005,123.139271,153.718848,96.057298,44.707937
2006,116.449057,152.843437,78.276495,47.696878
2007,95.3380459,149.95244,92.89130386,51.940689
2008,143.5368256,114.6434861,97.59254131,67.28295211
2009,115.6152198,113.1196195,116.7132688,51.44939292
2010,119.6006981,113.4357951,110.1528094,63.31361629
2011,137.7085642,123.3379045,84.6094325,57.2568553
