SourceName,RptSrc,SrcEPAID,DestinationName,DestType,DestEPAID,QuarterYear,LubeOil,IndOil,Total
A S Environmental Services,Hauler,CAL000268899,Ramos Environmental Services,Hauler,CAD044003556,January - March 2004,47645,,47645
A S Environmental Services,Hauler,CAL000268899,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,15357,,15357
A S Environmental Services,Hauler,CAL000268899,Ramos Environmental Services,Transfer Station,CAD044003556,January - March 2004,47645,,47645
Abbott's Waste Oil Service_ Inc.,Hauler,CAD981373665,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,525546,,525546
Adona Trucking,Hauler,CAD982504979,Alviso Independent Oil_ Inc.,Transfer Station,CAL000161743,January - March 2004,16250,,16250
Advanced Environmental_ Inc.,Recycler,CAT080025711,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,1031190,,1031190
Advanced Industrial Recycling,Hauler,CAR000056580,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,9669,,9669
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,38345,,38345
Alarcon's_ Mark_ Waste Oil Service,Hauler,CAD980814446,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,10820,,10820
All Petroleum Recovery Service LLC,Hauler,CAD981377633,Evergreen Oil,Recycler,CAD980887418,January - March 2004,125550,,125550
All Valley Disposal Inc.,Hauler,CAR000181586,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,73359,,73359
All Valley Environmental,Hauler,CAL000263169,Advanced Environmental_ Inc.,Recycler,CAT080025711,January - March 2004,48625,,48625
All Valley Environmental,Hauler,CAL000263169,Advanced Environmental_ Inc.,Transfer Station,CAT080025711,January - March 2004,48625,,48625
Alpha Oil Company,Hauler,CAL000331370,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,37880,,37880
Alpha Oil Company,Hauler,CAL000331370,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,9299,,9299
Alpha Oil Company,Hauler,CAL000331370,Crosby and Overton-Plant #1,Recycler,CAD028409019,January - March 2004,605,,605
Amberwick Corporation,Hauler,CAL000827879,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,5210,,5210
Amberwick Corporation,Hauler,CAL000827879,Crosby and Overton-Plant #1,Recycler,CAD028409019,January - March 2004,680,,680
Amberwick Corporation,Hauler,CAL000827879,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,207636,,207636
American Oil Company,Hauler,CAD981427669,Butler_ J.W._ Oil_ Inc.,Hauler,CAD981426539,January - March 2004,75680,,75680
American Oil Company,Hauler,CAD981427669,Demenno/Kerdoon,Recycler,CAT080013352,January - March 2004,525,,525
American Oil Company,Hauler,CAD981427669,Industrial Service Oil Company_ Inc.,Recycler,CAD099452708,January - March 2004,299170,,299170
American Oil Company,Hauler,CAD981427669,Evergreen Environmental Services (Carson),Recycler,CAD981696420,January - March 2004,700,,700
American Oil Company,Hauler,CAD981427669,Butler_ J.W._ Oil_ Inc.,Transfer Station,CAD981426539,January - March 2004,75680,,75680
American Valley Waste Oil,Hauler,CAL000827878,Riverbank Oil Transfer,Recycler,CAL000190818,January - March 2004,464865,,464865
