###,,,,,,,,,,,,
##,,,,,,,,,,,,
## Mass Balance by EPAID for 2010,,,,,,,,,,,,
## Inputs on left, outputs on right,,,,,,,,,,,
##,,,,,,,,,,,,
H_Total,Tx_In,P_Total,EPAID,P_RFO,P_Waste,P_TxOut,H_TxOut,Tx_Out,SelfTxfr,,=TxDiff,=In-Out
,,,,,,,,,,,,
0,34458072,76360786,CAT080013352,56548084,18639554,0,0,0,0,,0,
0,13372886,17445423,CAD980887418,16220507,1378679,0,0,277147,0,,277147,
0,5716671,7559312,CAD099452708,7927518,0,0,0,0,0,,0,
0,6624560,7173048,CAT080025711,0,7239412,0,0,7239416,0,,7239416,
0,5317803,3625772,CAD981696420,56804,0,0,0,3478536,0,,3478536,
0,4083088,2040602,CAT080012602,0,2028236,805668,0,2028236,0,,2028236,
379168,726804,747043,CAD980694103,0,748002,400046,383968,723964,356115,,696111,
0,0,620084,AZR000503789,620084,0,0,0,0,0,,0,
0,607389,365545,NVD982358483,362472,3073,0,0,0,0,,0,
0,232238,96697,CAL930256136,0,99430,0,0,99430,0,,99430,
,,,,,,,,,,,,
0,2543012,0,CAD008302903,0,0,0,0,0,0,,0,
498644,2415189,0,CAD044003556,0,0,0,498444,0,498444,,0,
0,1244875,0,AZR000504332,0,0,0,0,0,0,,0,
0,1062025,0,CAD982446874,0,0,0,0,0,0,,0,
0,1044076,0,CAD982446882,0,0,0,0,0,0,,0,
683970,902069,0,CAL000102751,0,0,0,683970,0,683970,,0,
544550,640875,0,AZR000003681,0,0,0,226787,170817,55970,,0,
0,631705,0,CAL000282598,0,0,0,0,0,0,,0,
0,525529,0,AZR000031823,0,0,0,0,0,0,,0,
0,431878,0,CAL000190818,0,0,0,0,0,0,,0,
0,369710,0,AZD983480948,0,0,0,0,0,0,,0,
2046209,361182,0,CAD981427669,0,0,0,2046209,2046209,0,,0,
0,309878,0,NVR000001032,0,0,0,0,0,0,,0,
400567,261926,0,CAD088838222,0,0,0,311612,0,400567,,88955,
0,203917,0,ORQ000007781,0,0,0,0,0,0,,0,
0,200932,0,CAD982444481,0,0,0,0,0,0,,0,
0,172719,0,CAL000827844,0,0,0,0,0,0,,0,
0,158105,0,CAD982446858,0,0,0,0,0,0,,0,
0,157503,0,NVD982510711,0,0,0,0,0,0,,0,
0,151400,0,NVR000080655,0,0,0,0,0,0,,0,
0,137838,0,CAL000190816,0,0,0,0,0,0,,0,
0,126691,0,CAT000646117,0,0,0,0,0,0,,0,
0,69722,0,CAR000157206,0,0,0,0,0,0,,0,
0,40172,0,AZ0000337360,0,0,0,0,0,0,,0,
0,39270,0,AZR000501510,0,0,0,0,0,0,,0,
0,27390,0,NVR000001925,0,0,0,0,0,0,,0,
0,10587,0,CAL000135557,0,0,0,0,0,0,,0,
26130,8258,0,CAD008364432,0,0,0,26130,0,26130,,0,
0,5926,0,CAD981648249,0,0,0,0,0,0,,0,
0,4547,0,NVT330010000,0,0,0,0,0,0,,0,
0,3867,0,ARD981057870,0,0,0,0,0,0,,0,
0,3397,0,NVD980895338,0,0,0,0,0,0,,0,
27399920,3220,0,CAD028277036,0,0,0,0,19248561,0,,19248561,
0,2753,0,CAD980884183,0,0,0,0,0,0,,0,
0,2092,0,CAD983612862,0,0,0,0,0,0,,0,
0,2000,0,CAD093459485,0,0,0,0,0,0,,0,
0,1635,0,CAD028409019,0,0,0,0,0,0,,0,
16814857,1350,0,CAD982413262,0,0,0,16814866,16814866,0,,0,
0,1010,0,UTD981552177,0,0,0,0,0,0,,0,
0,935,0,CAR000047696,0,0,0,0,0,0,,0,
7475,722,0,CAD982030173,0,0,0,2620,7475,0,,4855,
0,656,0,OHD048415665,0,0,0,0,0,0,,0,
0,640,0,CAL000220991,0,0,0,0,0,0,,0,
0,500,0,CAT000613893,0,0,0,0,0,0,,0,
0,430,0,CAR000163824,0,0,0,0,0,0,,0,
0,385,0,CAD097030993,0,0,0,0,0,0,,0,
0,360,0,CAD059494310,0,0,0,0,0,0,,0,
0,210,0,CAR000194217,0,0,0,0,0,0,,0,
0,161,0,FLD980711071,0,0,0,0,0,0,,0,
0,92,0,CAD044429835,0,0,0,0,0,0,,0,
0,24,0,CAL000190080,0,0,0,0,0,0,,0,
0,12,0,WAD991281767,0,0,0,0,0,0,,0,
0,5,0,CAD008252405,0,0,0,0,0,0,,0,
,,,,,,,,,,,,
3664164,0,0,CAL000142074,0,0,0,3664164,3664164,0,,0,
3446023,0,0,CAR000190082,0,0,0,515360,3446023,0,,2930663,
2354838,0,0,CAL000330453,0,0,0,2354838,2354838,0,,0,
2048094,0,0,CAL000297859,0,0,0,1747972,2048094,0,,300122,
1907445,0,0,CAL000322668,0,0,0,1271300,1908445,0,,637145,
1826408,0,0,CAL000253361,0,0,0,2174253,2174253,0,,0,
1348355,0,0,CAR000171017,0,0,0,1347355,1347355,0,,0,
1243297,0,0,UTD070534623,0,0,0,1243297,0,1243297,,0,
899551,0,0,CAD980813950,0,0,0,874450,874450,0,,0,
787960,0,0,CAD981634363,0,0,0,787960,787960,0,,0,
772991,0,0,CAL913534912,0,0,0,933611,933611,0,,0,
750739,0,0,CAR000177527,0,0,0,749788,749788,0,,0,
694165,0,0,CAD080075096,0,0,0,694165,694165,0,,0,
674100,0,0,CAL000327031,0,0,0,674100,674100,0,,0,
635044,0,0,CAL000327867,0,0,0,635044,635044,0,,0,
631633,0,0,CAL000331370,0,0,0,635833,635833,0,,0,
603153,0,0,CAL912823785,0,0,0,603153,603153,0,,0,
553833,0,0,CAL000264806,0,0,0,553893,553893,0,,0,
517420,0,0,CAL000280060,0,0,0,423146,423146,0,,0,
509594,0,0,CAL000317320,0,0,0,509574,509574,0,,0,
468230,0,0,CAL000161247,0,0,0,359210,359210,0,,0,
456190,0,0,CAR000201459,0,0,0,456190,456190,0,,0,
439367,0,0,CAL000827878,0,0,0,439367,439367,0,,0,
432963,0,0,CAL000268462,0,0,0,339741,432963,0,,93222,
431429,0,0,CAR000172460,0,0,0,414874,414874,0,,0,
417470,0,0,CAL000301304,0,0,0,417970,417970,0,,0,
396813,0,0,CAL000188867,0,0,0,396812,396812,0,,0,
383400,0,0,CAL000827858,0,0,0,383400,383400,0,,0,
364075,0,0,CAD982488470,0,0,0,265090,265090,0,,0,
344815,0,0,NVD980893663,0,0,0,0,0,0,,0,
302429,0,0,CAL000338673,0,0,0,223194,308429,0,,85235,
295739,0,0,CAL000183236,0,0,0,295739,295739,0,,0,
283092,0,0,CAL000027718,0,0,0,283042,283042,0,,0,
239776,0,0,CAR000047167,0,0,0,239776,239776,0,,0,
228001,0,0,CAL000263169,0,0,0,174829,228001,0,,53172,
224639,0,0,CAR000047019,0,0,0,234639,234639,0,,0,
220754,0,0,CAL000188148,0,0,0,220754,220754,0,,0,
202953,0,0,CAD981377633,0,0,0,202953,202953,0,,0,
160173,0,0,CAR000181586,0,0,0,210173,210173,0,,0,
159990,0,0,CAD980814446,0,0,0,159990,159990,0,,0,
159935,0,0,CAL000253903,0,0,0,117210,159935,0,,42725,
159151,0,0,CAR000148296,0,0,0,119505,159151,0,,39646,
158105,0,0,CAD980584510,0,0,0,158105,158105,0,,0,
157385,0,0,CAL000348567,0,0,0,156760,156760,0,,0,
153054,0,0,CAL000280873,0,0,0,153054,153054,0,,0,
144100,0,0,CAL000309743,0,0,0,144100,144100,0,,0,
138563,0,0,CAL000280677,0,0,0,138563,138563,0,,0,
138449,0,0,CAL000027759,0,0,0,138949,138949,0,,0,
127040,0,0,CAL000162034,0,0,0,129740,129740,0,,0,
123963,0,0,CAD981385149,0,0,0,123963,123963,0,,0,
97815,0,0,CAL000346010,0,0,0,97815,97815,0,,0,
88600,0,0,CAL000209884,0,0,0,88600,88600,0,,0,
88028,0,0,CAD000632992,0,0,0,88028,88028,0,,0,
79094,0,0,CAL000350237,0,0,0,40259,40259,0,,0,
63727,0,0,CAR000130864,0,0,0,100397,100397,0,,0,
56056,0,0,CAL000827857,0,0,0,27162,56056,0,,28894,
45293,0,0,CAR000159681,0,0,0,45293,45293,0,,0,
40250,0,0,CAR000011205,0,0,0,40250,40250,0,,0,
36750,0,0,CAD983609678,0,0,0,36750,36750,0,,0,
36062,0,0,CAR000190355,0,0,0,36062,36062,0,,0,
33605,0,0,CAR000074542,0,0,0,33605,33605,0,,0,
32045,0,0,CAD980585293,0,0,0,32045,32045,0,,0,
19245,0,0,CAD983608258,0,0,0,19245,19245,0,,0,
15677,0,0,CAT000624247,0,0,0,15677,15677,0,,0,
15000,0,0,CAL000282383,0,0,0,15000,15000,0,,0,
14704,0,0,CAR000172189,0,0,0,14704,14704,0,,0,
13777,0,0,CAR000129759,0,0,0,8752,8752,0,,0,
12074,0,0,CAD983613688,0,0,0,12074,12074,0,,0,
9560,0,0,CAR000206086,0,0,0,9560,9560,0,,0,
8476,0,0,CAD053866794,0,0,0,4151,9476,0,,5325,
8197,0,0,CAR000208520,0,0,0,8197,8197,0,,0,
7000,0,0,CAL000274397,0,0,0,7000,7000,0,,0,
5104,0,0,CAL000161534,0,0,0,5104,5104,0,,0,
5085,0,0,NJD986607380,0,0,0,5085,5085,0,,0,
4327,0,0,CAT080012800,0,0,0,4327,4327,0,,0,
3580,0,0,CAR000009910,0,0,0,3580,3580,0,,0,
