TSDF_EPA_ID,AWClass,ES_NAME
CAT080025711    ,T,ADVANCED ENVIRONMENTAL INC    
CAD981427669    ,T,AMERICAN EARTH MANAGEMENT INC DBA AMERICAN OIL    
CAL000827844    ,T,ASBURY ENVIRONMENTAL SERVICES    
CAD980694103    ,T,ASBURY ENVIRONMENTAL SERVICES-CHICO II LLC    
CAL930256136    ,T,ASBURY ENVIRONMENTAL SERVICES-FORTUNA    
CAL000282598    ,T-p,BAKERSFIELD TRANSFER INC    
CAD088838222    ,T,BAYSIDE OIL II INC    
CAD981426539    ,T,BUTLER OIL CO    
CAD050806850    ,CO,CLEAN HARBORS LOS ANGELES LLC    
CAD059494310    ,CO,CLEAN HARBORS SAN JOSE LLC    
CAD044429835    ,CO,CLEAN HARBORS WILMINGTON LLC    
CAD980813950    ,T,CRANE'S WASTE OIL INC    
CAD028409019    ,CO,CROSBY & OVERTON - PLANT #1    
CAT080012602    ,T,D K DIXON    
CAT080033681    ,T,D/K ENVIRONMENTAL    
CAT080013352    ,P,DEMENNO/KERDOON    
CAD981696420    ,P,EVERGREEN ENVIRONMENTAL SERVICES CARSON    
CAD980887418    ,P,EVERGREEN OIL INC    
CAD982446874    ,T,EVERGREEN OIL INC DAVIS    
CAD982446882    ,T,EVERGREEN OIL INC FRESNO    
CAD982446858    ,T,EVERGREEN OIL INC SANTA MARIA    
CAD982444481    ,T,FILTER RECYCLING SERVICES INC    
CAD980884183    ,Q,GEM OF RANCHO CORDOVA LLC    
CAD099452708    ,P,INDUSTRIAL SERVICE OIL CO INC    
CAD008252405    ,CO-T,PACIFIC RESOURCE RECOVERY SERVICES INC    
CAD044003556    ,T,RAMOS ENVIRONMENTAL SERVICES    
CAD008364432    ,T,RHO-CHEM LLC    
CAL000190816    ,T,"RIVERBANK OIL TRANSFER, LLC    "
CAT000613976    ,T,SAFETY-KLEEN    
CA0000084517    ,T,SAFETY-KLEEN    
CAD066113465    ,T,SAFETY-KLEEN    
CAT000613935    ,T,SAFETY-KLEEN SYSTEMS INC    
CAT000613893    ,T,SAFETY-KLEEN SYSTEMS INC EL MONTE ACCUMULATION CENTER    
CAT000613927    ,T,SAFETY-KLEEN SYSTEMS INC HIGHLAND SERVICE CENTER    
CAD097030993    ,Q,SIEMENS INDUSTRY INC    
CAD008302903    ,P,VEOLIA ES TECHNICAL SOLUTIONS LLC    
CAT080014079    ,T,VEOLIA ES TECHNICAL SOLUTIONS LLC    
CAL000102751    ,T,WORLD OIL - SAN JOAQUIN LLC    
