TeXKey,Label,Style,VarA,VarB,VarC,VarD,VarE,VarF,VarG
Year,,*d,2004,2005,2006,2007,2008,2009,2010
CRUnits,Units,*s,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal
MDUnits,,*s,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal,Mgal
CRHaulingAgr,Hauling - Agricultural,agr,2.536762,1.728266,1.617090,2.223301,2.164362,1.779083,1.555756
CRHaulingCC,Hauling - Collection Centers,cc,71.068594,70.867035,52.746927,73.858267,69.979708,51.398132,50.235663
CRHaulingConsol,Hauling - Consolidators,consol,9.118067,10.913920,9.856845,15.712520,14.215280,18.450289,22.147721
CRHaulingGov,Hauling - Government,,1.741710,1.566758,1.826431,1.799914,1.707804,1.653324,1.427399
CRHaulingImport,Hauling - Imports from out-of-state,,3.106395,0.231502,0.084570,1.972031,0.272870,0.241662,0.220505
CRHaulingIndAgr,Ind. Agricultural,,0.071003,0.100348,0.053050,0.054715,0.057735,0.039171,0.060221
CRHaulingIndCC,Ind. Collection Centers,,0.491183,0.478259,0.858358,0.344199,0.408860,0.363325,0.309118
CRHaulingIndConsol,Ind. Consolidators,,0.242260,0.155044,0.000000,0.000000,0.006841,0.014898,0.030851
CRHaulingIndGov,Ind. Government,,0.114345,0.097429,0.100313,0.102489,0.106742,0.090219,0.155365
CRHaulingIndImport,Ind. Imports from out-of-state,,0.021210,0.011831,0.000000,0.000055,0.009166,0.000000,0.000000
CRHaulingIndInds,Ind. Industrial Sources,,4.565091,4.373358,3.361570,5.941887,5.603702,3.232580,4.172609
CRHaulingIndMar,Ind. Marine,,0.072466,0.128030,0.038275,0.242537,0.250839,0.129195,0.143549
CRHaulingIndTotal,Industrial Oils,ind,5.577558,5.344299,4.411566,6.685882,6.443885,3.869388,4.871713
CRHaulingIndTotalInState,Industrial Oils_ in-state,,5.556348,5.332468,4.411566,6.685827,6.434719,3.869388,4.871713
CRHaulingInds,Industrial Sources,ind,10.692401,10.331284,8.453539,13.372882,12.883811,8.861688,7.516048
CRHaulingLubAgr,Lub. Agricultural,,2.465759,1.627918,1.564040,2.168586,2.106627,1.739912,1.495535
CRHaulingLubCC,Lub. Collection Centers,,70.577411,70.388776,51.888569,73.514068,69.570848,51.034807,49.926545
CRHaulingLubConsol,Lub. Consolidators,,8.875807,10.758876,9.856845,15.712520,14.208439,18.435391,22.116870
CRHaulingLubGov,Lub. Government,,1.627365,1.469329,1.726118,1.697425,1.601062,1.563105,1.272034
CRHaulingLubImport,Lub. Imports from out-of-state,,3.085185,0.219671,0.084570,1.971976,0.263704,0.241662,0.220505
CRHaulingLubInds,Lub. Industrial Sources,,6.127310,5.957926,5.091969,7.430995,7.280109,5.629108,3.343439
CRHaulingLubMar,Lub. Marine,,0.324318,0.345811,0.229805,0.344376,0.287416,0.189369,0.199349
CRHaulingLubTotal,Lubricants,lub,93.083155,90.768307,70.441916,102.839946,95.318205,78.833354,78.574277
CRHaulingLubTotalInState,Lubricants_ in-state,,89.997970,90.548636,70.357346,100.867970,95.054501,78.591692,78.353772
CRHaulingMar,Hauling - Marine,,0.396784,0.473841,0.268080,0.586913,0.538255,0.318564,0.342898
CRHaulingTotal,Hauling - Total,,98.660713,96.112606,74.853482,109.525828,101.762090,82.702742,83.445990
CRHaulingTotalInState,Hauling - in-state,,95.554318,95.881104,74.768912,107.553797,101.489220,82.461080,83.225485
CRProcessedExports,Exports out of CA - CR,,4.537724,4.153943,4.346383,4.427295,4.348718,4.272785,6.293403
CRProcessedReportedRcvd,Reported Received by Processors,,111.900893,117.961560,115.500457,117.971070,112.521885,106.962773,115.414228
CRProcessedTotal,Total Oil Disposed - CR,,98.950133,96.636647,75.737464,109.595728,101.993694,82.761825,84.093322
CRProductsAsphalt,Asphalt Produced - CR,,12.628648,6.072198,11.592731,8.113591,9.618154,9.304429,10.816099
CRProductsBaseOil,Base Oil Produced - CR,,8.677986,4.421409,8.949130,6.120107,7.088211,6.335245,7.723071
CRProductsLightFuels,Light Fuels Produced - CR,,17.308931,9.251915,16.411561,19.348678,20.984098,19.083844,18.595568
CRProductsRFO,RFO Produced - CR,,49.726454,76.297449,40.787236,68.555640,55.880432,41.896339,33.583550
CRProductsTotal,Total Products - CR,,88.342019,96.042971,77.740658,102.138016,93.570895,76.619857,70.718288
CRSalesInd,Industrial Oils,ind,144.587606,123.139271,116.449057,95.338046,143.536826,115.615220,119.600698
CRSalesLub,Lubricants,lub,150.452532,153.718848,152.843437,149.952440,114.643486,113.119620,113.435795
CRSalesTotal,Sales - Total,,295.040138,276.858119,269.292494,245.290486,258.180312,228.734839,233.036493
MDDispositionD99,D99,,0.000000,0.000000,0.000000,0.008075,0.000000,0.000000,0.000000
MDDispositionH010,H010 Metals Recovery,,0.000000,0.000000,0.037005,0.093620,0.211884,0.060024,0.009285
MDDispositionH020,H020 Solvents Recovery,,0.000000,0.000000,0.338569,2.721024,3.244652,1.262704,2.788958
MDDispositionH037,H037 H037,,0.000000,0.000000,0.000000,0.000000,0.011237,0.000000,0.000000
MDDispositionH039,H039 Other Recovery for reuse,,122.119513,139.723300,63.949588,91.950167,97.351639,97.418346,101.831302
MDDispositionH040,H040 Incineration,,0.394720,0.310918,0.264875,0.199939,0.330905,0.400592,0.485703
MDDispositionH041,H041 H041,,0.000000,0.000000,0.000000,0.017309,0.000000,0.000000,0.000000
MDDispositionH050,H050 On-Site Energy Recovery,,0.000000,0.000000,0.512273,5.036154,4.083218,2.563386,0.442950
MDDispositionH061,H061 Off-Site Energy Recovery,,0.000000,0.000000,1.297884,9.434344,6.264130,3.936369,4.105407
MDDispositionH077,H077 Other Chemical Precipitation,,0.000000,0.000000,0.000312,0.000000,0.000000,0.003152,0.000164
MDDispositionH080,H080 H080,,0.000000,0.000000,0.007421,0.000000,0.000000,0.000000,0.000000
MDDispositionH081,H081 Biological Treatment,,0.000000,0.000000,0.005689,0.047924,0.588217,1.430909,0.489983
MDDispositionH101,H101 Sludge Treatment / Dewatering,,0.000000,0.000000,0.000875,0.024093,0.029592,0.010835,0.036954
MDDispositionH103,H103 Absorption,,0.000000,0.000000,0.005244,0.000000,0.000000,0.000000,0.000000
MDDispositionH111,H111 Stabilization_ Off-site Disposal,,0.000000,0.000000,0.003944,0.019826,0.011599,0.008238,0.097266
MDDispositionH122,H122 Evaporation,,0.000000,0.000000,0.000000,0.000000,0.000000,0.010962,0.000000
MDDispositionH123,H123 Settling or Clarification,,0.000000,0.000000,0.046462,0.076156,0.000000,0.000000,0.000000
MDDispositionH129,H129 Other Treatment,,1.382539,0.783601,0.604112,0.292893,0.183147,0.150215,0.023405
MDDispositionH13,H13 H13,,0.000000,0.000000,0.003080,0.000000,0.000000,0.000000,0.000000
MDDispositionH131,H131 Land Treatment or Application,,0.006721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionH132,H132 Landfill or Surface Impoundment,,2.641939,1.906185,1.749386,4.289950,4.462648,4.177033,6.119507
MDDispositionH134,H134 Deepwell or Underground Injection,,0.000000,0.008190,0.000000,0.000000,0.000000,0.000000,0.000000
MDDispositionH135,H135 Discharge to Sewer/POTW or NPDES,,0.000000,0.000000,3.504370,4.496950,3.655102,3.404694,4.692820
MDDispositionH138,H138 H138,,0.000000,0.000000,0.000000,0.001758,0.000000,0.005595,0.001712
MDDispositionH139,H139 H139,,0.000000,0.000000,0.000000,0.017128,0.000000,0.000000,0.000000
