WASTE_STATE_CODE,GenGAL,Import,DispGAL,TxIn,TxOut,TxLosses,TSDF_EPA_ID,Year,Class,H039,H061,H050,H020,H135,H040,H132,H129,H081,OtherUnknown,Others
221,0,0,4191,572,0,0,ARD069748192,2009,P-AR,572,0,1864,0,0,1755,0,0,0,,
221,0,0,32929,1419,0,0,ARD981057870,2009,P-AR,1419,31510,0,0,0,0,0,0,0,,
221,0,0,15961,15961,0,0,AZ0000337360,2009,P-AZ,15961,0,0,0,0,0,0,0,0,,
221,0,0,43495,0,0,0,AZ0000878744,2009,P-AZ,0,43495,0,0,0,0,0,0,0,,
221,0,0,258,258,0,0,AZD049318009,2009,P-AZ,258,0,0,0,0,0,0,0,0,,
221,0,0,782,782,0,0,AZD081705402,2009,P-AZ,782,0,0,0,0,0,0,0,0,,
221,0,0,31,0,0,0,AZD980695,2009,P-AZ,0,0,0,0,0,0,0,0,0,31.000000,H010,
221,0,0,57,57,0,0,AZD980695332,2009,P-AZ,57,0,0,0,0,0,0,0,0,,
221,0,0,3756,3756,0,0,AZD980892897,2009,P-AZ,3756,0,0,0,0,0,0,0,0,,
221,0,0,64616,64616,0,0,AZD983480948,2009,P-AZ,64616,0,0,0,0,0,0,0,0,,
221,0,0,133505,3329,0,0,AZR000002428,2009,P-AZ,3329,0,0,0,0,0,130176,0,0,,
221,0,0,1389611,12106,0,0,AZR000003681,2009,P-AZ,12106,1377505,0,0,0,0,0,0,0,,
221,0,0,38914,37591,743,0,AZR000030452,2009,P-AZ,36848,0,0,0,1952,0,0,0,0,114.000000,H035,H139,
221,0,0,696146,691095,0,0,AZR000031823,2009,P-AZ,691095,5051,0,0,0,0,0,0,0,,
221,0,0,173907,173907,0,0,AZR000033381,2009,P-AZ,173907,0,0,0,0,0,0,0,0,,
221,0,0,756,756,0,0,AZR000035840,2009,P-AZ,756,0,0,0,0,0,0,0,0,,
221,136,0,14248,228,364,0,AZR000035915,2009,C-AZ,0,0,0,14248,0,0,0,0,0,,
221,0,0,2497,2497,0,0,AZR000050483,2009,P-AZ,2497,0,0,0,0,0,0,0,0,,
221,0,0,6190,6190,0,0,AZR000263169,2009,P-AZ,6190,0,0,0,0,0,0,0,0,,
221,0,0,42318,42318,0,0,AZR000501510,2009,P-AZ,42318,0,0,0,0,0,0,0,0,,
221,0,0,44074,44074,0,0,AZR000503789,2009,P-AZ,44074,0,0,0,0,0,0,0,0,,
221,0,0,1405959,1401797,0,0,AZR000504332,2009,P-AZ,1401797,4162,0,0,0,0,0,0,0,,
221,0,1887,1951,1985,34,0,CA0000084517,2009,P-CA,1951,0,0,0,0,0,0,0,0,,
221,10042,0,0,624,10666,0,CA2890012584,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,17895,0,0,1568,19463,0,CA6170024289,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,10567,0,46927,7938,18505,0,CA7170090016,2009,C-CA,0,0,0,0,46927,0,0,0,0,,
221,0,10342,190874,133746,0,0,CA9999999999,2009,P-CA,133746,44736,12392,0,0,0,0,0,0,,
221,0,0,2601,2601,0,0,CAD,2009,P-CA,2601,0,0,0,0,0,0,0,0,,
221,0,0,244,244,0,0,CAD000188867,2009,P-CA,244,0,0,0,0,0,0,0,0,,
221,297135,0,0,0,297135,0,CAD000626515,2009,G-CA,0,0,0,0,0,0,0,0,0,,
221,1383,0,0,281,1664,0,CAD000633230,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,161,57,0,57,218,0,CAD001799469,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,520,520,0,0,CAD00443556,2009,P-CA,520,0,0,0,0,0,0,0,0,,
221,0,225,26298,1275,208,0,CAD008252405,2009,P-CA,1067,24966,0,239,0,0,0,0,0,26.000000,H161,
221,120,409,1991225,638551,34,0,CAD008302903,2009,P-CA,638517,104699,0,1248009,0,0,0,0,0,,
221,0,0,41015,33799,0,0,CAD008364432,2009,P-CA,33799,7216,0,0,0,0,0,0,0,,
221,35039904,0,0,2985,35042889,0,CAD028277036,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,228,132990,39185,1696,0,CAD028409019,2009,P-CA,37489,41806,0,0,53695,0,0,0,0,,
221,744326,0,0,4286218,4591120,0,CAD044003556,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,1472,1472,0,0,CAD0443556,2009,P-CA,1472,0,0,0,0,0,0,0,0,,
221,0,876,29105,106766,77661,0,CAD044429835,2009,P-CA,29105,0,0,0,0,0,0,0,0,,
221,0,301,547906,1864959,1320535,0,CAD050806850,2009,P-CA,544424,0,0,0,0,0,0,0,0,3482.000000,H010,
221,0,11658,70059,87540,17481,0,CAD059494310,2009,P-CA,70059,0,0,0,0,0,0,0,0,,
221,0,286,0,286,286,0,CAD060763596,2009,Tx-CA,0,0,0,0,0,0,0,0,0,,
221,0,0,811,811,0,0,CAD060897063,2009,P-CA,811,0,0,0,0,0,0,0,0,,
221,440260,0,0,436365,845393,0,CAD088838222,2009,C-CA,0,0,0,0,0,0,0,0,0,,
221,18091,0,1830,770,18861,0,CAD093459485,2009,C-CA,0,0,0,0,1830,0,0,0,0,,
221,0,0,32417,46739,14322,0,CAD097030993,2009,P-CA,32417,0,0,0,0,0,0,0,0,,
