Fate,Generation,Import,TxOut,TxLosses,DK,Ev,RFO_CA,ExportMix,Wastewater,HazWaste,Incin,Rejuv,Count
C-AZ,0,0,439,0,0,0,0,0,0,0,0,0,1
C-CA,1306364,7267,2842018,0,0,0,16180,0,275287,985961,0,36198,17
G-CA,188,0,77769,0,0,0,29,0,122,37,0,0,2
G-OR,62,0,9491,0,0,0,0,58,3,0,0,0,1
P-02,314,0,0,0,0,0,0,48,204,62,0,0,1
P-98,251,0,0,0,0,0,0,38,163,50,0,0,1
P-AR,21910,0,0,0,0,0,0,19269,1770,235,633,0,2
P-AZ,1975218,0,753,0,0,0,0,221551,977232,776430,0,0,11
P-CA,9814760,307059,1463788,0,803112,102497,346521,0,6291475,2544221,33966,0,36
P-FL,8,0,0,0,0,0,0,7,0,0,0,0,1
P-IN,1977,0,0,0,0,0,0,842,875,258,0,0,2
P-KS,376,0,0,0,0,0,0,357,18,0,0,0,1
P-MO,332,0,0,0,0,0,0,50,215,66,0,0,1
P-NE,347,0,0,0,0,0,0,0,0,0,347,0,1
P-NV,608340,0,0,0,0,0,0,76093,262268,269977,0,0,4
P-OK,23748,0,0,0,0,0,0,3563,15436,4749,0,0,1
P-OR,62166,0,0,0,0,0,0,8197,34237,10530,2762,6438,3
P-TN,40886,0,0,0,0,0,0,7043,25892,7949,0,0,1
P-TX,23012,0,0,0,0,0,0,8420,4157,1157,9276,0,4
P-UT,1029617,0,102,0,0,0,0,7152,5445,982361,34657,0,4
P-WA,8123,0,0,0,0,0,0,1293,5350,1479,0,0,1
P-WI,130165,0,0,0,0,0,0,19525,84607,26033,0,0,1
Tx-CA,3048,1748,54773,1642,0,0,473,0,2049,630,0,0,2
TOTAL
 ,15051212,316074,4449133,1642,803112,102497,363203,373506,7986805,5612185,81641,42636,99

