GEN_EPA_ID,NAICS_CODE,SIC_CODE,Comments
AZT050010149,48832,4491,
AZT050010156,49311,4226,
AZT050010156,49311,4225,
CA0000001859,311613,2013,
CA0000001859,311613,2077,
CA0000002337,92811,9711,
CA0000004465,48421,4213,
CA0000004465,48421,4214,
CA0000004465,48421,4212,
CA0000005173,62211,8062,
CA0000005173,62211,8069,
CA0000008086,44111,5511,
CA0000008219,311211,2041,
CA0000008219,311211,2034,
CA0000014357,48541,4119,
CA0000014357,48541,4151,
CA0000014407,811121,7532,
CA0000015958,,,
CA0000016964,99999,9999,
CA0000026906,44111,5511,
ACR000030452,,,
AK4470001377,99999,9999,
ALD963167891,,,
ALD983167891,3312,,
ARD069748182,,,
ARD069748192,562211,4953,
ARD981057870,562211,4953,
ARD981513385,99999,9999,
ARR000003681,,,
ARZ000030452,,,
ARZ000501510,,,
ARZ000504332,,,
AZ0000337360,42193,5093,
AZ0000337380,,,
AZ0000586859,482111,4011,
AZ0000878484,,,
AZ0000878744,42272,5172,
AZ0000878787,,,
AZ0000974220,482111,4011,
AZ0000974279,482111,4011,
AZ0000974295,482111,4011,
AZ0000974410,99999,9999,
AZ0703100000,,,
AZ1572890027,,,
AZ2572890026,92811,9711,
AZ4211890021,,,
AZ4570024055,92811,9711,
AZ5026893233,,,
AZ5572890023,,,
AZ7213820635,,,
AZ9605532800,,,
AZ9605532900,,,
AZC082004028,,,
AZC082104029,,,
AZC091230032,,,
AZC950823111,99999,9999,
AZC951206114,562212,4953,
AZD000033736,,,
AZD008398786,541512,7379,
AZD008398786,541512,7373,
AZD009000050,336412,3724,
AZD009015369,,,
AZD009015389,,,
AZD049318009,,,
AZD050010131,,,
AZD081705402,33111,,
AZD081785402,,,
AZD085453603,,,
AZD093660579,,,
AZD094524097,,,
AZD980673263,,,
AZD980695332,331492,3341,
AZD980695332,331492,3399,
AZD980818165,4881,,
AZD980892897,,,
AZD981422538,33421,3661,
AZD981460496,,,
AZD981460678,482111,4011,
AZD981626617,331528,3369,
AZD981655640,44131,5015,
AZD981655640,44131,5731,
AZD981655640,44131,5013,
AZD981655640,44131,5531,
AZD981969504,,,
AZD981988900,54138,8734,
AZD981997182,,,
AZD982032427,3121,,
AZD982434185,56292,4953,
AZD982441263,562211,4953,
AZD982459745,811111,7538,
AZD982465866,,,
AZD982471187,,,
AZD982484578,99999,9999,
AZD982493884,,,
AZD983468166,336412,3724,
AZD983473539,,,
AZD983473547,,,
AZD983476680,,,
AZD983477423,332996,3498,
AZD983480948,562219,4953,
AZD983481813,,,
AZD983483595,,,
AZE040618002,99999,9999,
AZE080409001,99999,9999,
AZE110927001,,,
AZO000000000,,,
AZP981969504,,,
AZR000000224,999999,NONE,
AZR000000224,999999,NONE,
AZR000000224,999999,NONE,
AZR000000681,,,
AZR000001032,,,
AZR000001164,,,
AZR000002345,,,
AZR000002420,,,
AZR000002426,,,
AZR000002428,562212,4953,
AZR000002429,,,
AZR000002782,44419,5039,
AZR000002782,44419,5032,
AZR000002782,44419,5231,
AZR000002782,44419,5211,
AZR000002782,44419,5063,
AZR000002782,44419,5074,
AZR000003038,32411,2911,
AZR000003608,99999,9999,
AZR000003681,42193,5093,
AZR000030064,333415,3585,
AZR000030452,562219,4953,
AZR000030462,,,
AZR000030742,,,
AZR000031559,,,
AZR000031823,562998,4959,
AZR000031823,562998,7699,
AZR000031825,,,
AZR000031856,,,
AZR000033381,42193,5093,
AZR000034045,,,
AZR000035840,99999,9999,
AZR000035915,324121,2951,
AZR000040568,999999,NONE,
AZR000040568,999999,NONE,
AZR000040568,999999,NONE,
AZR000041293,99999,9999,
AZR000044263,99999,9999,
AZR000045278,49311,4226,
AZR000045278,49311,4225,
AZR000047134,336412,3724,
AZR000047563,811198,7549,
AZR000047563,811198,7534,
AZR000050483,,,
AZR000081380,,,
AZR000087878,,,
AZR000090452,,,
AZR000201459,,,
AZR000263164,,,
AZR000263169,,,
AZR000304332,,,
