Score,X,Y,GEN_EPA_ID,ZIP5,POINT_X_12_13,POINT_Y_12_13,POINT_X,POINT_Y
100,-134.420417,58.301722,AK4470001377,99801,0,0,-134.420417,58.301722
97.07,-86.247723,33.590955,ALD983167891,35125,0,0,-86.247723,33.590955
100,-92.629148,33.206545,ARD069748192,71730,0,0,-92.629148,33.206545
100,-92.6287,34.515532,ARD981057870,72015,0,0,-92.6287,34.515532
100,-92.688652,33.162511,ARD981513385,71730,0,0,-92.688652,33.162511
100,-112.184059,33.44623,AZ0000337360,85043,0,0,-112.184059,33.44623
78.19,-114.053058,35.1886,AZ0000586859,86401,0,0,-114.053058,35.1886
100,-110.920539,32.171681,AZ0000878744,85714,0,0,-110.920539,32.171681
100,-112.875717,35.325897,AZ0000974220,86337,0,0,-112.875717,35.325897
87.35,-111.647291,35.195932,AZ0000974279,86001,0,0,-111.647291,35.195932
91.09,-112.777516,33.960085,AZ0000974295,85358,0,0,-112.777516,33.960085
89.1,-110.158738,34.900573,AZ0000974410,86025,0,0,-110.158738,34.900573
0,0,0,AZ1572890027,86015,-111.8215855,35.24163702,-111.8215855,35.24163702
81.66,-109.707682,32.794888,AZ2572890026,85548,0,0,-109.707682,32.794888
100,-111.962575,33.465618,AZ4211890021,85008,0,0,-111.962575,33.465618
0,0,0,AZ4570024055,85707,0,0,0,0
0,0,0,AZ5572890023,85653,-111.2809275,32.45660594,-111.2809275,32.45660594
0,0,0,AZ7213820635,86001,-111.7639726,35.39919525,-111.7639726,35.39919525
99.84,-109.832913,32.249509,AZC082004028,85643,0,0,-109.832913,32.249509
0,0,0,AZC082104029,85365,-113.9075151,32.49269087,-113.9075151,32.49269087
90.97,-114.616039,32.723268,AZC091230032,85364,0,0,-114.616039,32.723268
92.5,-114.216824,33.939483,AZC950823111,85300,0,0,-114.216824,33.939483
89.96,-114.574223,32.655237,AZC951206114,85366,0,0,-114.574223,32.655237
100,-112.358385,33.434316,AZD008398786,85338,0,0,-112.358385,33.434316
100,-112.007324,33.447,AZD009000050,85034,0,0,-112.007324,33.447
