
###
##
## Material Flow Summary - Tanner Report Data
## Waste Code 221; years 1993-2011
## All units in Mgal
##
Year,STATEWIDE_GENERATED_TONS,INSTATE_H141_TONS,H141_SHORTFALL,NetTons,Import,Export

1993,127.473044,10.762884,1.024654,117.734815,9.428092,3.342706
1994,134.394425,19.491631,4.325537,119.228332,8.785592,3.978095
1995,123.723328,23.195762,7.884708,108.412275,7.075209,5.118123
1996,135.727754,25.251727,4.757489,115.233516,5.982456,6.901107
1997,138.588514,24.116206,1.915159,116.387467,7.098326,6.613463
1998,145.769213,28.950967,1.257391,118.075638,6.191505,6.353794
1999,154.742055,35.586420,1.582714,120.738348,7.204460,8.517905
2000,156.382394,34.996584,1.797358,123.183168,7.447546,10.432055
2001,156.396524,37.109654,9.477054,128.763924,7.972267,11.747429
2002,164.421263,34.026623,14.081121,144.475762,8.388796,15.242255
2003,168.385521,33.781486,12.158124,146.762159,10.133292,15.525620
2004,180.644320,33.389469,12.486811,159.741662,12.381367,24.740529
2005,204.071913,41.656623,11.978369,174.393659,6.458890,24.657443
2006,93.144717,27.560810,9.333084,74.916991,2.276646,12.206502
2007,164.059442,54.530879,2.898639,112.427201,1.808385,19.706732
2008,159.386096,54.292071,2.313743,107.407768,1.717967,14.154897
2009,149.393243,51.378332,2.562392,100.577304,0.961015,10.914870
2010,148.294316,48.890985,2.546899,101.950230,1.033934,9.379958
2011,142.821902,52.689565,7.904918,98.037255,0.941379,7.955415
TOTAL
38038,2847.819986,671.658677,112.286166,2288.447475,113.287124,217.488899


###
##
## Material Flow Summary - Tanner Report Data
## Waste Code 222; years 1993-2011
## All units in tonnes
##
Year,STATEWIDE_GENERATED_TONS,INSTATE_H141_TONS,H141_SHORTFALL,NetTons,Import,Export

1993,31506.320170,1926.812966,223.638680,29803.145884,2007.327601,3259.797579
1994,26686.171794,1800.509407,280.646584,25166.308971,2329.379065,2187.374505
1995,32324.551338,3537.345984,2345.302875,31132.508229,3211.895877,721.766506
1996,31539.742779,4804.072157,705.876898,27441.547520,1600.295175,527.598490
1997,27322.479606,4676.865299,1299.412407,23945.026715,3047.749286,1330.983330
1998,35543.463682,4872.238620,517.279815,31188.504876,1700.893585,7374.789193
1999,34109.819604,8340.212472,1468.129108,27237.736240,1564.518745,8807.881693
2000,34926.211152,7900.487280,4923.492336,31949.216208,1830.675168,7037.241120
2001,32052.428352,3707.835264,2657.098080,31001.691168,1648.382400,6469.923600
2002,25829.163360,2529.046800,2231.975088,25532.091648,1265.861520,1578.255840
2003,30088.875600,4859.035776,4404.047760,29633.887584,1156.761648,1958.526864
2004,21942.827424,439.039440,362.925360,21866.713344,1463.667408,1808.430624
2005,25772.953248,453.218976,250.931520,25570.665792,2071.908720,829.770480
2006,17644.250736,1296.515808,1115.937648,17463.672576,1142.001504,1130.062752
2007,18879.430752,1831.763808,1528.876944,18576.543888,1233.039024,1453.162032
2008,18841.376207,993.093986,939.131916,18787.414136,1188.630840,3283.276278
2009,20809.433325,785.520176,544.344494,20568.257643,2372.023444,4227.156669
2010,19647.942307,546.822384,460.315357,19561.435280,3497.803577,3642.051298
2011,16914.887120,532.498767,479.724303,16862.112656,3502.014355,2064.657352
TOTAL
38038,502382.328556,55832.935372,26739.087174,473288.480358,37834.828944,59692.706206


###
##
## Material Flow Summary - Tanner Report Data
## Waste Code 223; years 1993-2011
## All units in tonnes
##
Year,STATEWIDE_GENERATED_TONS,INSTATE_H141_TONS,H141_SHORTFALL,NetTons,Import,Export

1993,98620.850523,1624.258682,472.827923,97469.419764,7772.348909,4925.624800
1994,106747.572980,3446.471851,1474.658317,104775.759446,5735.304701,5524.607229
1995,92121.601683,3757.982831,1000.135655,89363.754507,4064.471823,7317.319978
1996,68301.736000,5034.360522,1826.847782,65094.223260,3511.420930,6192.362857
1997,51363.608829,5717.608404,2488.094613,48134.095037,3217.016295,5139.734705
1998,54580.472443,8382.620172,3915.447168,50113.299439,2781.065146,4632.935046
1999,52925.763684,7481.027121,3593.706782,49038.443345,3850.836656,5862.406687
2000,57924.692784,4527.481392,2002.226688,55399.438080,2464.717248,10358.073936
2001,63691.663392,3616.670736,1630.374480,61705.367136,1684.987920,6401.175984
2002,58097.786544,4038.473376,732.264624,54791.577792,2113.830432,5928.769728
2003,47616.787008,4443.211584,439.701696,43613.277120,1746.169488,7554.045744
2004,51408.021168,2903.230512,516.849984,49021.640640,1974.538944,7886.480112
2005,78606.267264,3491.413632,1701.925344,76816.778976,1587.046608,16311.446928
2006,39609.277344,11915.101296,8927.038512,36621.214560,2898.449568,7120.141056
2007,58366.090944,14346.587808,7970.849712,51990.352848,2411.646048,13815.903024
2008,55376.049194,13228.798002,6155.438719,48302.689911,2516.576728,12216.901616
2009,57365.249288,13850.315442,4495.487396,48010.421242,3055.478975,13115.913473
2010,75899.160510,16306.310244,3785.796830,63378.647096,1329.528870,25317.877678
2011,71826.127495,18492.244415,5204.432653,58538.315733,1106.013379,19077.089483
TOTAL
38038,1240448.779076,146604.168022,58334.104877,1152178.715931,55821.448668,184698.810065

