
###
##
## Facility Report for CAT080013352
## Waste Code 221
##
,GEN_EPA_ID ,CAT080013352
,  FAC_NAME ,DEMENNO/KERDOON
,  FAC_STR1 ,2000 N ALAMEDA ST
,  FAC_CITY ,COMPTON
,  FAC_CNTY ,19
,    FAC_ST ,CA
,   FAC_ZIP ,902220000

Indicator    ,D_1993      ,D_1994      ,D_1995      ,D_1996      ,D_1997      ,D_1998      ,D_1999      ,D_2000      ,D_2001      ,D_2002      ,D_2003      ,D_2004      ,D_2005      ,D_2006      ,D_2007      ,D_2008      ,D_2009      ,D_2010      

 221_Received,  99909.8606, 122833.5979, 126097.2967, 144427.8090, 158951.0020, 156500.6463, 164790.1663, 159746.1173, 143292.4759, 135688.2075, 158107.2605, 171475.5148, 199479.0097,  92305.5860, 180912.4995, 197280.2951, 185999.9849, 179397.7960
         221_,  14723.4427,  15978.7501,   3157.0818,   2361.7874,   6328.6925,   3935.2575,   4257.8396,   1521.9822,   6409.1775,   1509.2179,   2844.5256,  76177.8289,  38510.1229,   1505.6526,   1447.4557,    216.2081,    553.4350,    166.1999
      221_***,    100.3824,     92.6246,    113.4376,    130.1738,     75.5053,      0.0000,     36.7710,     76.6130,     10.9680,      1.8053,     15.7853,      0.0000,   1766.9897,    442.0876,      0.0000,      8.2737,      0.0000,      0.0000
       221_01,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     98.7669,     62.9143,      4.1368,      0.0000
      221_135,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      6.2052,      0.0000,      0.0000,      0.0000
      221_D79,     22.6981,     16.0779,      0.0000,      2.2887,     25.7246,      0.0000,      0.0000,      0.0000,      0.0000,      5.2890,      0.0000,      0.0000,     27.1344,      8.8815,      0.0000,      0.0000,      0.0000,      0.0000
      221_D80,     13.5811,      0.0000,      0.0000,      0.0000,      0.0000,      0.2080,      0.8323,      0.0000,      0.0000,      0.0000,      0.0000,      0.0907,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      221_D81,      0.0000,      0.0000,     18.9151,      0.8890,      6.4311,      0.7944,      0.0000,      0.0000,      0.0000,      1.5060,     26.5447,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      221_D83,      0.0000,      3.4047,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      5.7426,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      221_D99,      0.0000,      0.0000,      0.0000,      0.0000,      0.9268,      8.7462,      0.0000,      0.0000,      0.0000,      0.0181,      0.0000,      0.0000,      0.1996,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
      221_H01,     46.3608,     10.4975,      4.0976,      3.8965,    413.6049,    199.9939,    792.0547,   2896.6624,    692.0666,    273.0581,    187.2733,    135.8441,     89.7039,     95.2106,      0.0000,      0.0000,      0.0000,      0.0000
     221_H010,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.3629
     221_H030,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      1.0524,      0.0000,      0.0000,      0.0000,      0.0000
     221_H035,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      8.3190,      0.0091,      0.0000,      0.0000,      5.6709
     221_H036,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      5.1257,     22.4169,     22.3596,      0.0000,      0.0000
     221_H037,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,     23.4420,     37.2315,      8.6184,      0.0000
