ReportingYear,ManEPARegion,ManState,ManID,ManNAICSCode,FormIndicator,Onsite_Offsite,FormCode,FormCodeDescription,MethodCode,ManTons,GenState,GenID,EPAHazWasteCodes,WasteCodeGroup,WasteCodeGroupDescription,WasteDescription
2009,06,AR,ARD069748192,562211,WR,OFFSITE,W206,Waste oil,H050,0.78747,CA,CA0000031997,U028,U028,Diethylhexyl phthalate waste,WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES LIQUID NOS
2009,06,AR,ARD069748192,562211,WR,OFFSITE,W206,Waste oil,H040,0.824965,CA,CA0000031997,U028,U028,Diethylhexyl phthalate waste,WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCES LIQUID NOS
2009,09,CA,CA7170090016,92811,WR,OFFSITE,W206,Waste oil,H135,0.7,CA,CA0000066373,,,,USED OIL; OIL FUEL AND OIL CONTAMINATED WITH WATER AND IMPURITIES
2009,09,CA,CAD008302903,562211,WR,OFFSITE,W206,Waste oil,H061,2.02376,CA,CA0000132613,D008,D008,Lead waste,WASTE OIL
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.6564723,CA,CA0000133199,D001,D001,Ignitable waste,WASTE FLAMMABLE LIQ_ N.O.S. ( CONTAMINATED FUEL ) 3_ UN 1993_ PG III
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.9541324,CA,CA0000133199,D001,D001,Ignitable waste,WASTE FLAMMABLE LIQUID ( CONTAMINATED FUEL )
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.412514,CA,CA0000138024,D001,D001,Ignitable waste,GASOLINE AND DIESEL AND WATER MIXTURE
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.425,CA,CA0000197806,D001,D001,Ignitable waste,WASTE FLAMMABLE LIQUID_ N.O.S. ( PETROLEUM DISTILLATES ) 3_ UN 1993_ PG II - THINNER
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,8.7002958,CA,CA0000546630,D001D018,TCORICR,Mixture of D018-D043 waste code wastes with D001-D003 waste code wastes (i.e._ toxicity characteristic organic with ignitable_ corrosive_ or reactive waste),JET A FUEL
2009,09,CA,CAD099452708,56292,WR,OFFSITE,W206,Waste oil,H039,2.8470968,CA,CA0000565390,,,,USED OIL
2009,09,NV,NVT330010000,562211,WR,OFFSITE,W206,Waste oil,H132,2.902,CA,CA0000588350,D002,D002,Corrosive waste,CONT.  ARMAKLEEN MM DIP #6316 W/ OIL    -40354252   - SV
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.3800629,CA,CA0000734632,D001D018,TCORICR,Mixture of D018-D043 waste code wastes with D001-D003 waste code wastes (i.e._ toxicity characteristic organic with ignitable_ corrosive_ or reactive waste),DIESEL AND GASOLINE
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.4031637,CA,CA0000898775,D001,D001,Ignitable waste,SOLVENT
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.5700944,CA,CA0000898775,D001,D001,Ignitable waste,PETROLEUM DISTILLATES AND SOLVENT
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.117,CA,CA0170024491,D001,D001,Ignitable waste,CLEANING COMPOUND ( PETROLEUM DISTILLATES AND ISOPROPYL ALCHOHOL)
2009,09,CA,CAT080013352,324191,WR,OFFSITE,W206,Waste oil,H039,0.027,CA,CA0170024491,D001,D001,Ignitable waste,ISOPROPANOL 17%
2009,04,TN,TND000772186,562211,GM,OFFSITE,W206,Waste oil,H061,0.2015,CA,CA0170024491,D018F003F005,F1_5,Mixture of F001-F005 waste code wastes (i.e._ mixture of spent halogenated and non-halogenated solvents),WASTE OIL MIXED WITH FUEL (OIL3)
