GEN_EPA_ID,TSDF_EPA_ID,CAT_CODE,METH_CODE,CONTAINER_TYPE,QUANTITY,UNITS
,CAD028409019,223,H135,TT,500,G
CAL000317584,CAD980887418,223,H141,DM,600,P
CAD029451945,CAD980887418,223,H141,CF,300,P
CAL000174940,CAD980887418,223,H135,TT,225,G
CAL000012455,CAD980887418,223,H135,TT,45,G
CAL000330511,CAT080013352,223,H039,DM,55,G
CAD98292498,CAD981696420,223,H141,TT,220,G
CAL000272253,CAD981696420,223,H141,TT,440,G
CAL000074488,CAD981696420,223,H141,TT,75,G
CAD009114919,UTD981552177,223,H040,TT,25860,P
CAL000120997,CAD097030993,223,H141,DM,3600,P
CAL000314319,CAD097030993,223,H141,DM,390,P
CAL000141664,CAD980887418,223,H141,DM,300,P
CAL000267878,CAD980887418,223,H141,DM,280,P
CAR000005819,NVD982358483,223,,TT,,G
CAL000317679,NVD982358483,223,,TT,,G
CAL000079615,NVD982358483,223,,TT,,G
CAL000110879,NVD982358483,223,,TT,,G
CAL000241624,NVD982358483,223,,TT,,G
CAC002637553,CAD044003556,223,H141,TT,70,G
CAC002637627,CAD044003556,223,H141,TT,200,G
CAL000011523,CAD044003556,223,H141,TT,200,G
CAL000322021,CAT080013352,223,H039,TT,275,G
CA6170024289,CA7170090016,223,H135,TT,3500,G
CAH111000996,CAD028409019,223,H141,DM,700,P
CAD066106097,CAD980887418,223,H135,TT,1422,G
CAL000318675,CAD982446874,223,H141,TT,55,G
CAD981571433,CAD980887418,223,H135,TT,700,G
CAL000336628,CAD044003556,223,H141,TT,110,G
CAS111111019,,223,H141,DM,600,P
CAL000020090,CAD980887418,223,H141,DM,150,P
CAD050513217,CAD980887418,223,H141,DM,400,P
CAS111111019,CAD028409019,223,H141,DM,250,P
CAL000329992,CAT080013352,223,H039,TP,1375,G
CAD981384746,CAD981696420,223,H141,TT,1500,G
CAD008289183,CAD981696420,223,H141,TT,1100,G
CAD030865299,CAD981696420,223,H141,TT,600,G
CAC002637973,CAD044003556,223,H141,TT,200,G
CAL000019841,CAD028409019,223,H141,DM,250,P
CAL000318607,CAD982444481,223,H129,DM,1740,P
CAD097030993,NVT33001000,223,H039,DM,1050,G
CAD097030993,NVT33001000,223,H039,TP,250,G
CAD981583776,CAT080013352,223,H039,DM,55,G
CAL000219930,CAT080013352,223,H039,DM,55,G
CAC002628224,CAD982444481,223,H129,DM,600,P
CAL000273429,CAD044003556,223,H141,TT,400,G
CAD981462930,CAT080013352,223,H039,TT,1995,G
CAC002638048,CAD982444481,223,H141,DM,110,G
CAC002638048,CAD982444481,223,H141,DM,165,G
CAL000072131,CAT080013352,223,H039,DM,110,G
CAT080012602,CAT080013352,223,H039,TT,2944,G
CAC002637455,CAD981696420,223,H141,TT,165,G
CAL000337409,CAD981696420,223,H141,TT,115,G
CAL000289886,CAD981696420,223,H141,TT,330,G
CAD981168537,CAD981168107,223,H141,DM,200,P
CAD981168107,CAD980675276,223,H132,CM,20,Y
CAD981619562,CAT080013352,223,H039,TT,1600,G
CAL000311932,CAD981696420,223,H141,TT,375,G
CAL000085951,CAD981696420,223,H141,TT,300,G
CAL000157265,CAD981696420,223,H141,TT,380,G
CAT000611517,WIR000029751,223,H039,DM,300,P
CAL000207760,WIR000029751,223,H039,DM,75,P
CAL000188504,WIR000029751,223,H039,DM,50,P
CAL000187023,WIR000029751,223,H039,DM,75,P
CAL000187879,WIR000029751,223,H039,DM,75,P
CAL000186965,WIR000029751,223,H039,DM,50,P
CAL000186951,WIR000029751,223,H039,DM,75,P
CAL000207698,WIR000029751,223,H039,DM,75,P
CAL000186936,WIR000029751,223,H039,DM,75,P
CAL000186998,WIR000029751,223,H039,DM,50,P
CAL000275221,WIR000029751,223,H039,DM,50,P
CAL000187030,WIR000029751,223,H039,DM,50,P
CAL000147623,WIR000029751,223,H039,DM,50,P
CAL000186942,WIR000029751,223,H039,DM,75,P
CAD983580473,CAD097030993,223,H141,CM,20000,P
CA0000562215,CAD050806850,223,H141,CF,600,P
CAD050806850,CAD980675276,223,H132,DM,715,G
CAD050806850,CAD980675276,223,H132,CF,2,Y
CA7170090206,CAT080013352,223,H039,TT,1320,P
CAD050806850,CAD980675276,223,H132,DM,1540,G
CAD000628255,CAT080013352,223,H039,TT,4700,G
CAD044429835,CAD980675276,223,H132,DM,30,G
CAL000266271,CAT080013352,223,H039,TP,550,G
CAC002638072,CAD982444481,223,H141,DM,75,P
