TxFacName,EPAID
Advanced Chemical Transport,CAR000070540
Advanced Environmental_ Inc.,CAT080025711
Altamont Landfill   Resource Recovery Facility,CAD981382732
American Oil Company,CAD981427669
APL Limited,CAL000135557
Asbury Environmental Services- Chico II,CAD980694103
Asbury Environmental Services-Compton,CAD028277036
Bakersfield Transfer Inc.,CAL000282596
Bakersfield Transfer_ Inc.,CAL000282598
Bayside Oil II_ Inc.,CAD088838222
Butler_ J.W._ Oil_ Inc.,CAD981426539
Carson Valley Oil Company,NVD982505240
Chico Drain Oil_ LLC (Transfer Station),CAL980694103
Crane's Waste Oil_ Inc.,CAD980813950
DK Dixon,CAT080012602
Ed Staub   Sons Petroleum_ Inc.,CAL921495383
Evergreen Environmental Services (Newark),CAD982413262
Express Environmental Corp._dba Express Oil,CAL000264806
Filter Recycling Services_ Inc.,CAD982444481
Forward Landfill,CAL000190080
Fuels_ LLC,AZR000508903
G   G Transportation,CAL000827858
Garden Grove Municipal Service Center,CAD983612862
Kern Oil Filter Recycling,CAL000327867
Los Angeles Dept of Power   Water (LA DPW),CAD983613282
Maumee Express,NJD986607380
Pacific Resource Recovery,CAD008252405
Pasadena Department of Water and Power,CAD981648249
Perma-Fix Environmental Services,FLD980711071
Philip West Industrial Services,CAR000177527
Ramos Environmental Services,CAD044003556
Real Deal Waste Oil Service,CAL000280873
Reno Drain Oil Service,NVD980893663
Riverbank Oil Transfer,CAL000190816
Ross Incineration Services,OHD048415665
Safety-Kleen,TXR000050930
Safety-Kleen,CAT000613976
Safety-Kleen,TXD077603371
Safety-Kleen Systems Inc.,AZD980892897
San Fernando Oil,CAL000301304
San Joaquin Filter Recycling,CAL000188148
Statewide Environmental Services,CAD000088252
Thermo Fluids (Spokane_ WA),WAH000015545
Thermo Fluids - Medford,ORQ000007781
Thermoflow,NVR000001925
US Fuel Oil LLC,AZR000510065
World Oil-San Joaquin_ LLC,CAL000102751
