NAICS1997	NAICSTitle1997	NAICS2002	NAICSTitle2002	PARTS
213112	Support Activities for Oil and Gas Operations	237120	Oil and Gas Pipeline and Related Structures Construction (pt)	Construction of Field Gathering Lines On A Contract Basis
213112	Support Activities for Oil and Gas Operations	238910	Site Preparation Contractors (pt)	Site Preparation and Related Construction Activities On A Contract Basis
213113	Support Activities for Coal Mining 	238910	Site Preparation Contractors (pt)	Site Preparation and Related Construction Activities On A Contract Basis
213114	Support Activities for Metal Mining	238910	Site Preparation Contractors (pt)	Site Preparation and Related Construction Activities On A Contract Basis
213115	Support Activities for Nonmetallic Minerals (except Fuels)	238910	Site Preparation Contractors (pt)	Site Preparation and Related Construction Activities On A Contract Basis
233110	Land Subdivision and Land Development	237210	Land Subdivision	
233210	Single Family Housing Construction	236115	New Single-Family Housing Construction (except Operative Builders)	General Contractors
233210	Single Family Housing Construction	236117	New Housing Operative Builders (pt)	Operative Builders
233210	Single Family Housing Construction	236118	Residential Remodelers (pt)	Remodeling Contractors
233220	Multifamily Housing Construction	236116	New Multifamily Housing Construction (except Operative Builders)	General Contractors
233220	Multifamily Housing Construction	236117	New Housing Operative Builders (pt)	Operative Builders
233220	Multifamily Housing Construction	236118	Residential Remodelers (pt)	Remodeling Contractors
233220	Multifamily Housing Construction	236220	Commercial and Institutional Building Construction (pt)	Barrack and Dormitory Construction
233310	Manufacturing and Industrial Building Construction	236210	Industrial Building Construction (pt)	Except Grain Elevators_ Dry Cleaning Plants_ and Manufacturing and Industrial Warehouses
233310	Manufacturing and Industrial Building Construction	236220	Commercial and Institutional Building Construction (pt)	Grain Elevators_ Dry Cleaning Plants_ and Manufacturing and Industrial Warehouses
233320	Commercial and Institutional Building Construction	236220	Commercial and Institutional Building Construction (pt)	
234110	Highway and Street Construction	237310	Highway_ Street_ and Bridge Construction (pt)	
234120	Bridge and Tunnel Construction 	237310	Highway_ Street_ and Bridge Construction (pt)	Bridge Construction
234120	Bridge and Tunnel Construction 	237990	Other Heavy and Civil Engineering Construction (pt)	Tunnel Construction
234910	Water_ Sewer_ and Pipeline Construction	237110	Water and Sewer Line and Related Structures Construction (pt)	Water/Sewer Pumping Stations_ Sewage Collection and Disposal Lines_ Storm Sewers_ Sewer/Water Mains and Lines_ and Water Storage Tanks and Towers_ and Construction Management of these Projects
234910	Water_ Sewer_ and Pipeline Construction	237120	Oil and Gas Pipeline and Related Structures Construction (pt)	Gas and Oil Pumping Stations_ Gas and Oil Pipeline Construction_ Gas Mains_ Gas and Oil Storage Tank Construction_ and Construction Management of these Projects
234920	Power and Communication Transmission Line Construction	237130	Power and Communication Line and Related Structures Construction (pt)	
